                               No. of Molecules =     5400
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         63.4818
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -7107.20830
        Step              PE              KE                TE 
         1         -7107.23304        1367.97026       -5739.26278
         2         -7107.25387        1367.99109       -5739.26278
         3         -7107.27081        1368.00803       -5739.26278
         4         -7107.28392        1368.02113       -5739.26279
         5         -7107.29325        1368.03046       -5739.26278
         6         -7107.29885        1368.03607       -5739.26278
         7         -7107.30083        1368.03806       -5739.26277
         8         -7107.29932        1368.03655       -5739.26277
         9         -7107.29445        1368.03167       -5739.26277
        10         -7107.28636        1368.02358       -5739.26277
        11         -7107.27523        1368.01246       -5739.26277
        12         -7107.26126        1367.99851       -5739.26275
        13         -7107.24467        1367.98194       -5739.26273
        14         -7107.22570        1367.96296       -5739.26274
        15         -7107.20455        1367.94182       -5739.26273
        16         -7107.18147        1367.91875       -5739.26272
        17         -7107.15675        1367.89404       -5739.26270
        18         -7107.13067        1367.86797       -5739.26269
        19         -7107.10349        1367.84083       -5739.26266
        20         -7107.07555        1367.81291       -5739.26263
        21         -7107.04714        1367.78452       -5739.26262
        22         -7107.01854        1367.75595       -5739.26259
        23         -7106.99010        1367.72754       -5739.26256
        24         -7106.96217        1367.69963       -5739.26254
        25         -7106.93505        1367.67253       -5739.26252
        26         -7106.90908        1367.64659       -5739.26250
        27         -7106.88461        1367.62214       -5739.26247
        28         -7106.86202        1367.59956       -5739.26246
        29         -7106.84168        1367.57923       -5739.26245
        30         -7106.82395        1367.56151       -5739.26244
        31         -7106.80913        1367.54672       -5739.26242
        32         -7106.79754        1367.53516       -5739.26238
        33         -7106.78956        1367.52720       -5739.26236
        34         -7106.78551        1367.52318       -5739.26233
        35         -7106.78569        1367.52338       -5739.26231
        36         -7106.79042        1367.52813       -5739.26229
        37         -7106.79999        1367.53772       -5739.26227
        38         -7106.81467        1367.55242       -5739.26225
        39         -7106.83478        1367.57254       -5739.26223
        40         -7106.86060        1367.59837       -5739.26223
        41         -7106.89239        1367.63017       -5739.26222
        42         -7106.93037        1367.66817       -5739.26220
        43         -7106.97477        1367.71257       -5739.26220
        44         -7107.02580        1367.76360       -5739.26220
        45         -7107.08364        1367.82144       -5739.26220
        46         -7107.14844        1367.88626       -5739.26219
        47         -7107.22033        1367.95816       -5739.26218
        48         -7107.29945        1368.03728       -5739.26217
        49         -7107.38593        1368.12376       -5739.26217
        50         -7107.47983        1368.21767       -5739.26215
        51         -7107.58120        1368.31905       -5739.26215
        52         -7107.69007        1368.42794       -5739.26214
        53         -7107.80649        1368.54435       -5739.26215
        54         -7107.93041        1368.66827       -5739.26214
        55         -7108.06183        1368.79967       -5739.26216
        56         -7108.20066        1368.93850       -5739.26216
        57         -7108.34683        1369.08466       -5739.26216
        58         -7108.50024        1369.23805       -5739.26218
        59         -7108.66076        1369.39856       -5739.26219
        60         -7108.82826        1369.56606       -5739.26220
        61         -7109.00256        1369.74034       -5739.26222
        62         -7109.18343        1369.92122       -5739.26221
        63         -7109.37074        1370.10852       -5739.26223
        64         -7109.56424        1370.30198       -5739.26226
        65         -7109.76360        1370.50132       -5739.26228
        66         -7109.96856        1370.70625       -5739.26231
        67         -7110.17883        1370.91650       -5739.26233
        68         -7110.39412        1371.13176       -5739.26236
        69         -7110.61408        1371.35170       -5739.26237
        70         -7110.83838        1371.57599       -5739.26240
        71         -7111.06666        1371.80425       -5739.26241
        72         -7111.29856        1372.03612       -5739.26243
        73         -7111.53366        1372.27119       -5739.26247
        74         -7111.77160        1372.50911       -5739.26249
        75         -7112.01199        1372.74947       -5739.26252
        76         -7112.25445        1372.99190       -5739.26254
        77         -7112.49856        1373.23600       -5739.26256
        78         -7112.74387        1373.48130       -5739.26258
        79         -7112.98996        1373.72737       -5739.26260
        80         -7113.23643        1373.97379       -5739.26264
        81         -7113.48282        1374.22015       -5739.26267
        82         -7113.72869        1374.46599       -5739.26271
        83         -7113.97363        1374.71091       -5739.26272
        84         -7114.21722        1374.95447       -5739.26275
        85         -7114.45902        1375.19624       -5739.26279
        86         -7114.69861        1375.43580       -5739.26281
        87         -7114.93556        1375.67272       -5739.26284
        88         -7115.16945        1375.90658       -5739.26287
        89         -7115.39986        1376.13697       -5739.26290
        90         -7115.62638        1376.36347       -5739.26291
        91         -7115.84863        1376.58570       -5739.26294
        92         -7116.06623        1376.80326       -5739.26296
        93         -7116.27877        1377.01579       -5739.26298
        94         -7116.48591        1377.22291       -5739.26300
        95         -7116.68728        1377.42425       -5739.26303
        96         -7116.88251        1377.61946       -5739.26305
        97         -7117.07125        1377.80819       -5739.26306
        98         -7117.25322        1377.99014       -5739.26309
        99         -7117.42812        1378.16501       -5739.26311
       100         -7117.59561        1378.33250       -5739.26311
       101         -7117.75546        1378.49232       -5739.26313
       102         -7117.90739        1378.64423       -5739.26316
       103         -7118.05110        1378.78793       -5739.26317
       104         -7118.18635        1378.92316       -5739.26319
       105         -7118.31290        1379.04968       -5739.26322
       106         -7118.43052        1379.16729       -5739.26323
       107         -7118.53905        1379.27581       -5739.26324
       108         -7118.63830        1379.37504       -5739.26326
       109         -7118.72811        1379.46483       -5739.26327
       110         -7118.80830        1379.54502       -5739.26328
       111         -7118.87877        1379.61547       -5739.26329
       112         -7118.93941        1379.67608       -5739.26333
       113         -7118.99007        1379.72674       -5739.26333
       114         -7119.03069        1379.76735       -5739.26334
       115         -7119.06113        1379.79780       -5739.26333
       116         -7119.08133        1379.81800       -5739.26333
       117         -7119.09123        1379.82789       -5739.26334
       118         -7119.09082        1379.82747       -5739.26334
       119         -7119.08005        1379.81670       -5739.26335
       120         -7119.05889        1379.79554       -5739.26335
       121         -7119.02730        1379.76394       -5739.26336
       122         -7118.98528        1379.72193       -5739.26335
       123         -7118.93285        1379.66950       -5739.26335
       124         -7118.87004        1379.60669       -5739.26335
       125         -7118.79686        1379.53351       -5739.26335
       126         -7118.71334        1379.44998       -5739.26336
       127         -7118.61951        1379.35615       -5739.26337
       128         -7118.51542        1379.25206       -5739.26336
       129         -7118.40115        1379.13779       -5739.26336
       130         -7118.27679        1379.01344       -5739.26335
       131         -7118.14245        1378.87909       -5739.26336
       132         -7117.99819        1378.73483       -5739.26336
       133         -7117.84410        1378.58074       -5739.26336
       134         -7117.68025        1378.41689       -5739.26336
       135         -7117.50676        1378.24341       -5739.26335
       136         -7117.32377        1378.06042       -5739.26335
       137         -7117.13138        1377.86804       -5739.26334
       138         -7116.92972        1377.66638       -5739.26334
       139         -7116.71888        1377.45552       -5739.26335
       140         -7116.49892        1377.23556       -5739.26335
       141         -7116.26998        1377.00664       -5739.26334
       142         -7116.03224        1376.76890       -5739.26334
       143         -7115.78581        1376.52248       -5739.26333
       144         -7115.53088        1376.26756       -5739.26333
       145         -7115.26761        1376.00428       -5739.26333
       146         -7114.99610        1375.73278       -5739.26332
       147         -7114.71653        1375.45321       -5739.26332
       148         -7114.42901        1375.16570       -5739.26331
       149         -7114.13373        1374.87043       -5739.26330
       150         -7113.83086        1374.56757       -5739.26329
