                               No. of Molecules =    12800
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         84.6420
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en      -16846.98347
        Step              PE              KE                TE 
         1        -16847.18811        3243.08939      -13604.09872
         2        -16847.37497        3243.27625      -13604.09873
         3        -16847.54398        3243.44526      -13604.09871
         4        -16847.69521        3243.59650      -13604.09871
         5        -16847.82869        3243.72999      -13604.09870
         6        -16847.94449        3243.84583      -13604.09866
         7        -16848.04293        3243.94428      -13604.09865
         8        -16848.12425        3244.02563      -13604.09862
         9        -16848.18881        3244.09022      -13604.09859
        10        -16848.23695        3244.13839      -13604.09856
        11        -16848.26912        3244.17059      -13604.09853
        12        -16848.28582        3244.18734      -13604.09848
        13        -16848.28757        3244.18914      -13604.09843
        14        -16848.27498        3244.17659      -13604.09840
        15        -16848.24864        3244.15028      -13604.09836
        16        -16848.20922        3244.11090      -13604.09831
        17        -16848.15745        3244.05917      -13604.09828
        18        -16848.09405        3243.99582      -13604.09822
        19        -16848.01981        3243.92163      -13604.09818
        20        -16847.93556        3243.83743      -13604.09812
        21        -16847.84216        3243.74408      -13604.09808
        22        -16847.74045        3243.64244      -13604.09802
        23        -16847.63137        3243.53343      -13604.09794
        24        -16847.51585        3243.41798      -13604.09787
        25        -16847.39487        3243.29705      -13604.09782
        26        -16847.26935        3243.17158      -13604.09777
        27        -16847.14020        3243.04251      -13604.09769
        28        -16847.00851        3242.91085      -13604.09766
        29        -16846.87522        3242.77763      -13604.09759
        30        -16846.74134        3242.64382      -13604.09752
        31        -16846.60784        3242.51038      -13604.09746
        32        -16846.47567        3242.37829      -13604.09739
        33        -16846.34580        3242.24848      -13604.09732
        34        -16846.21920        3242.12192      -13604.09728
        35        -16846.09680        3241.99957      -13604.09723
        36        -16845.97958        3241.88238      -13604.09719
        37        -16845.86832        3241.77120      -13604.09712
        38        -16845.76392        3241.66685      -13604.09707
        39        -16845.66728        3241.57026      -13604.09701
        40        -16845.57918        3241.48220      -13604.09698
        41        -16845.50031        3241.40339      -13604.09692
        42        -16845.43142        3241.33454      -13604.09688
        43        -16845.37316        3241.27636      -13604.09681
        44        -16845.32628        3241.22952      -13604.09677
        45        -16845.29135        3241.19461      -13604.09675
        46        -16845.26885        3241.17214      -13604.09671
        47        -16845.25932        3241.16264      -13604.09668
        48        -16845.26334        3241.16667      -13604.09667
        49        -16845.28121        3241.18456      -13604.09665
        50        -16845.31326        3241.21664      -13604.09662
        51        -16845.35982        3241.26322      -13604.09661
        52        -16845.42105        3241.32445      -13604.09660
        53        -16845.49713        3241.40053      -13604.09659
        54        -16845.58821        3241.49161      -13604.09660
        55        -16845.69432        3241.59773      -13604.09659
        56        -16845.81551        3241.71892      -13604.09659
        57        -16845.95167        3241.85508      -13604.09659
        58        -16846.10266        3242.00606      -13604.09660
        59        -16846.26833        3242.17174      -13604.09660
        60        -16846.44847        3242.35186      -13604.09661
        61        -16846.64279        3242.54616      -13604.09663
        62        -16846.85092        3242.75426      -13604.09666
        63        -16847.07250        3242.97580      -13604.09670
        64        -16847.30705        3243.21031      -13604.09673
        65        -16847.55407        3243.45730      -13604.09677
        66        -16847.81303        3243.71623      -13604.09680
        67        -16848.08336        3243.98653      -13604.09683
        68        -16848.36445        3244.26758      -13604.09687
        69        -16848.65560        3244.55868      -13604.09692
        70        -16848.95608        3244.85911      -13604.09696
        71        -16849.26515        3245.16813      -13604.09702
        72        -16849.58212        3245.48503      -13604.09708
        73        -16849.90620        3245.80906      -13604.09713
        74        -16850.23655        3246.13937      -13604.09718
        75        -16850.57234        3246.47511      -13604.09723
        76        -16850.91270        3246.81541      -13604.09729
        77        -16851.25669        3247.15933      -13604.09736
        78        -16851.60340        3247.50596      -13604.09743
        79        -16851.95191        3247.85440      -13604.09751
        80        -16852.30130        3248.20373      -13604.09757
        81        -16852.65067        3248.55304      -13604.09763
        82        -16852.99913        3248.90142      -13604.09771
        83        -16853.34563        3249.24786      -13604.09777
        84        -16853.68921        3249.59139      -13604.09782
        85        -16854.02896        3249.93109      -13604.09788
        86        -16854.36395        3250.26602      -13604.09793
        87        -16854.69325        3250.59527      -13604.09798
        88        -16855.01594        3250.91790      -13604.09805
        89        -16855.33109        3251.23298      -13604.09811
        90        -16855.63779        3251.53963      -13604.09816
        91        -16855.93521        3251.83700      -13604.09821
        92        -16856.22256        3252.12427      -13604.09829
        93        -16856.49894        3252.40060      -13604.09834
        94        -16856.76356        3252.66516      -13604.09840
        95        -16857.01560        3252.91716      -13604.09844
        96        -16857.25425        3253.15576      -13604.09850
        97        -16857.47874        3253.38020      -13604.09854
        98        -16857.68836        3253.58978      -13604.09858
        99        -16857.88247        3253.78383      -13604.09864
       100        -16858.06043        3253.96172      -13604.09871
       101        -16858.22159        3254.12283      -13604.09876
       102        -16858.36528        3254.26648      -13604.09879
       103        -16858.49091        3254.39210      -13604.09881
       104        -16858.59800        3254.49915      -13604.09885
       105        -16858.68604        3254.58714      -13604.09890
       106        -16858.75452        3254.65559      -13604.09894
       107        -16858.80300        3254.70404      -13604.09896
       108        -16858.83114        3254.73214      -13604.09900
       109        -16858.83850        3254.73948      -13604.09902
       110        -16858.82475        3254.72570      -13604.09905
       111        -16858.78956        3254.69050      -13604.09906
       112        -16858.73267        3254.63360      -13604.09907
       113        -16858.65389        3254.55478      -13604.09912
       114        -16858.55302        3254.45387      -13604.09915
       115        -16858.42982        3254.33068      -13604.09914
       116        -16858.28424        3254.18507      -13604.09916
       117        -16858.11616        3254.01699      -13604.09917
       118        -16857.92557        3253.82639      -13604.09918
       119        -16857.71238        3253.61320      -13604.09917
       120        -16857.47659        3253.37743      -13604.09916
       121        -16857.21830        3253.11915      -13604.09915
       122        -16856.93762        3252.83846      -13604.09916
       123        -16856.63464        3252.53548      -13604.09915
       124        -16856.30950        3252.21037      -13604.09913
       125        -16855.96242        3251.86330      -13604.09912
       126        -16855.59359        3251.49448      -13604.09911
       127        -16855.20329        3251.10419      -13604.09910
       128        -16854.79181        3250.69271      -13604.09909
       129        -16854.35943        3250.26036      -13604.09907
       130        -16853.90654        3249.80751      -13604.09903
       131        -16853.43358        3249.33456      -13604.09902
       132        -16852.94093        3248.84193      -13604.09900
       133        -16852.42899        3248.33002      -13604.09898
       134        -16851.89821        3247.79927      -13604.09893
       135        -16851.34910        3247.25021      -13604.09889
       136        -16850.78222        3246.68334      -13604.09887
       137        -16850.19806        3246.09923      -13604.09884
       138        -16849.59725        3245.49844      -13604.09881
       139        -16848.98031        3244.88154      -13604.09878
       140        -16848.34791        3244.24917      -13604.09875
       141        -16847.70073        3243.60201      -13604.09872
       142        -16847.03940        3242.94073      -13604.09867
       143        -16846.36459        3242.26595      -13604.09864
       144        -16845.67697        3241.57839      -13604.09858
       145        -16844.97733        3240.87879      -13604.09854
       146        -16844.26639        3240.16789      -13604.09850
       147        -16843.54485        3239.44639      -13604.09846
       148        -16842.81345        3238.71501      -13604.09843
       149        -16842.07293        3237.97454      -13604.09839
       150        -16841.32410        3237.22575      -13604.09835
