                               No. of Molecules =     1600
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         43.3212
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -1964.05945
        Step              PE              KE                TE 
         1         -1964.03008         405.10952       -1558.92055
         2         -1964.00238         405.08183       -1558.92055
         3         -1963.97635         405.05580       -1558.92055
         4         -1963.95201         405.03145       -1558.92056
         5         -1963.92933         405.00878       -1558.92055
         6         -1963.90837         404.98781       -1558.92056
         7         -1963.88912         404.96856       -1558.92056
         8         -1963.87160         404.95105       -1558.92056
         9         -1963.85586         404.93529       -1558.92056
        10         -1963.84191         404.92134       -1558.92056
        11         -1963.82979         404.90923       -1558.92056
        12         -1963.81953         404.89897       -1558.92056
        13         -1963.81114         404.89058       -1558.92056
        14         -1963.80469         404.88413       -1558.92056
        15         -1963.80020         404.87964       -1558.92056
        16         -1963.79772         404.87717       -1558.92055
        17         -1963.79732         404.87677       -1558.92055
        18         -1963.79904         404.87849       -1558.92055
        19         -1963.80292         404.88238       -1558.92054
        20         -1963.80903         404.88849       -1558.92054
        21         -1963.81741         404.89687       -1558.92053
        22         -1963.82810         404.90757       -1558.92053
        23         -1963.84119         404.92067       -1558.92053
        24         -1963.85673         404.93620       -1558.92053
        25         -1963.87478         404.95425       -1558.92053
        26         -1963.89540         404.97487       -1558.92053
        27         -1963.91865         404.99813       -1558.92052
        28         -1963.94461         405.02410       -1558.92051
        29         -1963.97332         405.05281       -1558.92051
        30         -1964.00484         405.08434       -1558.92050
        31         -1964.03926         405.11875       -1558.92050
        32         -1964.07660         405.15610       -1558.92050
        33         -1964.11691         405.19642       -1558.92049
        34         -1964.16025         405.23976       -1558.92049
        35         -1964.20668         405.28619       -1558.92049
        36         -1964.25624         405.33575       -1558.92049
        37         -1964.30896         405.38848       -1558.92049
        38         -1964.36490         405.44442       -1558.92048
        39         -1964.42409         405.50361       -1558.92048
        40         -1964.48656         405.56608       -1558.92048
        41         -1964.55232         405.63185       -1558.92047
        42         -1964.62142         405.70095       -1558.92047
        43         -1964.69386         405.77340       -1558.92047
        44         -1964.76969         405.84921       -1558.92047
        45         -1964.84886         405.92839       -1558.92048
        46         -1964.93139         406.01092       -1558.92047
        47         -1965.01730         406.09683       -1558.92047
        48         -1965.10657         406.18609       -1558.92047
        49         -1965.19917         406.27869       -1558.92048
        50         -1965.29508         406.37460       -1558.92048
        51         -1965.39428         406.47380       -1558.92048
        52         -1965.49670         406.57622       -1558.92049
        53         -1965.60230         406.68181       -1558.92049
        54         -1965.71103         406.79054       -1558.92049
        55         -1965.82286         406.90235       -1558.92050
        56         -1965.93771         407.01720       -1558.92051
        57         -1966.05551         407.13500       -1558.92052
        58         -1966.17617         407.25565       -1558.92052
        59         -1966.29963         407.37910       -1558.92053
        60         -1966.42576         407.50523       -1558.92053
        61         -1966.55448         407.63396       -1558.92053
        62         -1966.68569         407.76515       -1558.92054
        63         -1966.81925         407.89870       -1558.92055
        64         -1966.95505         408.03450       -1558.92055
        65         -1967.09299         408.17242       -1558.92057
        66         -1967.23292         408.31234       -1558.92058
        67         -1967.37471         408.45413       -1558.92058
        68         -1967.51822         408.59764       -1558.92058
        69         -1967.66332         408.74273       -1558.92059
        70         -1967.80988         408.88928       -1558.92060
        71         -1967.95776         409.03714       -1558.92062
        72         -1968.10681         409.18617       -1558.92064
        73         -1968.25685         409.33621       -1558.92065
        74         -1968.40774         409.48708       -1558.92067
        75         -1968.55934         409.63867       -1558.92067
        76         -1968.71151         409.79083       -1558.92068
        77         -1968.86407         409.94338       -1558.92069
        78         -1969.01686         410.09616       -1558.92070
        79         -1969.16974         410.24903       -1558.92070
        80         -1969.32253         410.40182       -1558.92071
        81         -1969.47511         410.55438       -1558.92073
        82         -1969.62730         410.70656       -1558.92074
        83         -1969.77898         410.85823       -1558.92075
        84         -1969.92998         411.00923       -1558.92075
        85         -1970.08019         411.15943       -1558.92077
        86         -1970.22946         411.30869       -1558.92077
        87         -1970.37764         411.45686       -1558.92078
        88         -1970.52461         411.60383       -1558.92079
        89         -1970.67025         411.74945       -1558.92080
        90         -1970.81441         411.89360       -1558.92080
        91         -1970.95698         412.03617       -1558.92082
        92         -1971.09785         412.17702       -1558.92083
        93         -1971.23689         412.31606       -1558.92083
        94         -1971.37401         412.45318       -1558.92083
        95         -1971.50912         412.58828       -1558.92084
        96         -1971.64211         412.72127       -1558.92084
        97         -1971.77292         412.85207       -1558.92085
        98         -1971.90147         412.98061       -1558.92086
        99         -1972.02771         413.10685       -1558.92086
       100         -1972.15158         413.23071       -1558.92087
       101         -1972.27301         413.35213       -1558.92087
       102         -1972.39192         413.47104       -1558.92088
       103         -1972.50826         413.58738       -1558.92088
       104         -1972.62197         413.70109       -1558.92088
       105         -1972.73303         413.81215       -1558.92088
       106         -1972.84141         413.92052       -1558.92088
       107         -1972.94709         414.02621       -1558.92088
       108         -1973.05008         414.12920       -1558.92088
       109         -1973.15034         414.22946       -1558.92088
       110         -1973.24788         414.32700       -1558.92088
       111         -1973.34270         414.42182       -1558.92088
       112         -1973.43483         414.51395       -1558.92088
       113         -1973.52427         414.60339       -1558.92089
       114         -1973.61103         414.69015       -1558.92088
       115         -1973.69516         414.77428       -1558.92087
       116         -1973.77667         414.85580       -1558.92087
       117         -1973.85559         414.93472       -1558.92087
       118         -1973.93197         415.01111       -1558.92086
       119         -1974.00586         415.08500       -1558.92085
       120         -1974.07728         415.15644       -1558.92084
       121         -1974.14633         415.22548       -1558.92084
       122         -1974.21303         415.29219       -1558.92084
       123         -1974.27746         415.35662       -1558.92084
       124         -1974.33967         415.41884       -1558.92083
       125         -1974.39974         415.47891       -1558.92083
       126         -1974.45772         415.53689       -1558.92083
       127         -1974.51369         415.59286       -1558.92082
       128         -1974.56772         415.64691       -1558.92081
       129         -1974.61992         415.69911       -1558.92081
       130         -1974.67035         415.74954       -1558.92081
       131         -1974.71909         415.79828       -1558.92081
       132         -1974.76618         415.84538       -1558.92080
       133         -1974.81175         415.89094       -1558.92080
       134         -1974.85585         415.93506       -1558.92080
       135         -1974.89857         415.97778       -1558.92079
       136         -1974.94000         416.01921       -1558.92079
       137         -1974.98022         416.05943       -1558.92079
       138         -1975.01930         416.09852       -1558.92078
       139         -1975.05733         416.13655       -1558.92078
       140         -1975.09437         416.17360       -1558.92077
       141         -1975.13050         416.20973       -1558.92077
       142         -1975.16577         416.24501       -1558.92076
       143         -1975.20028         416.27953       -1558.92075
       144         -1975.23409         416.31335       -1558.92074
       145         -1975.26729         416.34655       -1558.92074
       146         -1975.29993         416.37919       -1558.92073
       147         -1975.33207         416.41134       -1558.92073
       148         -1975.36381         416.44309       -1558.92072
       149         -1975.39522         416.47449       -1558.92073
       150         -1975.42631         416.50558       -1558.92072
       151         -1975.45713         416.53641       -1558.92072
       152         -1975.48773         416.56701       -1558.92072
       153         -1975.51816         416.59744       -1558.92072
       154         -1975.54847         416.62775       -1558.92072
       155         -1975.57871         416.65799       -1558.92072
       156         -1975.60892         416.68819       -1558.92073
       157         -1975.63911         416.71839       -1558.92072
