                               No. of Molecules =     1600
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         42.3212
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -2105.83958
        Step              PE              KE                TE 
         1         -2105.75944         405.05877       -1700.70067
         2         -2105.67754         404.97687       -1700.70067
         3         -2105.59391         404.89325       -1700.70066
         4         -2105.50858         404.80792       -1700.70066
         5         -2105.42158         404.72092       -1700.70066
         6         -2105.33297         404.63231       -1700.70066
         7         -2105.24279         404.54214       -1700.70065
         8         -2105.15111         404.45046       -1700.70065
         9         -2105.05801         404.35736       -1700.70065
        10         -2104.96356         404.26291       -1700.70065
        11         -2104.86782         404.16717       -1700.70065
        12         -2104.77086         404.07022       -1700.70064
        13         -2104.67277         403.97214       -1700.70063
        14         -2104.57366         403.87303       -1700.70062
        15         -2104.47361         403.77299       -1700.70062
        16         -2104.37271         403.67210       -1700.70061
        17         -2104.27105         403.57045       -1700.70060
        18         -2104.16874         403.46814       -1700.70060
        19         -2104.06588         403.36530       -1700.70059
        20         -2103.96261         403.26202       -1700.70058
        21         -2103.85899         403.15841       -1700.70057
        22         -2103.75515         403.05458       -1700.70057
        23         -2103.65122         402.95066       -1700.70056
        24         -2103.54732         402.84677       -1700.70055
        25         -2103.44359         402.74304       -1700.70054
        26         -2103.34011         402.63958       -1700.70053
        27         -2103.23703         402.53651       -1700.70052
        28         -2103.13450         402.43397       -1700.70053
        29         -2103.03260         402.33208       -1700.70053
        30         -2102.93147         402.23095       -1700.70052
        31         -2102.83122         402.13070       -1700.70052
        32         -2102.73197         402.03145       -1700.70051
        33         -2102.63382         401.93332       -1700.70050
        34         -2102.53692         401.83641       -1700.70050
        35         -2102.44136         401.74086       -1700.70050
        36         -2102.34725         401.64677       -1700.70049
        37         -2102.25471         401.55423       -1700.70048
        38         -2102.16385         401.46338       -1700.70048
        39         -2102.07479         401.37432       -1700.70047
        40         -2101.98761         401.28715       -1700.70046
        41         -2101.90240         401.20195       -1700.70045
        42         -2101.81925         401.11880       -1700.70045
        43         -2101.73826         401.03781       -1700.70045
        44         -2101.65949         400.95904       -1700.70045
        45         -2101.58301         400.88257       -1700.70044
        46         -2101.50889         400.80846       -1700.70043
        47         -2101.43722         400.73678       -1700.70043
        48         -2101.36803         400.66760       -1700.70044
        49         -2101.30140         400.60096       -1700.70044
        50         -2101.23734         400.53690       -1700.70044
        51         -2101.17589         400.47545       -1700.70044
        52         -2101.11707         400.41662       -1700.70044
        53         -2101.06090         400.36045       -1700.70045
        54         -2101.00739         400.30694       -1700.70045
        55         -2100.95659         400.25614       -1700.70045
        56         -2100.90847         400.20802       -1700.70046
        57         -2100.86303         400.16257       -1700.70046
        58         -2100.82025         400.11978       -1700.70046
        59         -2100.78011         400.07964       -1700.70047
        60         -2100.74260         400.04212       -1700.70047
        61         -2100.70766         400.00718       -1700.70047
        62         -2100.67526         399.97478       -1700.70048
        63         -2100.64534         399.94485       -1700.70049
        64         -2100.61783         399.91735       -1700.70049
        65         -2100.59271         399.89222       -1700.70049
        66         -2100.56991         399.86942       -1700.70049
        67         -2100.54935         399.84886       -1700.70049
        68         -2100.53096         399.83047       -1700.70049
        69         -2100.51467         399.81418       -1700.70049
        70         -2100.50042         399.79992       -1700.70050
        71         -2100.48813         399.78762       -1700.70051
        72         -2100.47770         399.77718       -1700.70051
        73         -2100.46901         399.76850       -1700.70051
        74         -2100.46200         399.76148       -1700.70052
        75         -2100.45657         399.75604       -1700.70053
        76         -2100.45265         399.75212       -1700.70053
        77         -2100.45014         399.74960       -1700.70054
        78         -2100.44893         399.74838       -1700.70054
        79         -2100.44892         399.74837       -1700.70055
        80         -2100.45001         399.74946       -1700.70056
        81         -2100.45213         399.75156       -1700.70056
        82         -2100.45518         399.75461       -1700.70058
        83         -2100.45907         399.75850       -1700.70057
        84         -2100.46374         399.76316       -1700.70058
        85         -2100.46907         399.76849       -1700.70058
        86         -2100.47501         399.77442       -1700.70059
        87         -2100.48144         399.78084       -1700.70060
        88         -2100.48830         399.78769       -1700.70061
        89         -2100.49553         399.79492       -1700.70061
        90         -2100.50307         399.80245       -1700.70062
        91         -2100.51085         399.81023       -1700.70062
        92         -2100.51882         399.81818       -1700.70064
        93         -2100.52691         399.82627       -1700.70064
        94         -2100.53507         399.83442       -1700.70065
        95         -2100.54325         399.84260       -1700.70066
        96         -2100.55142         399.85076       -1700.70066
        97         -2100.55956         399.85890       -1700.70066
        98         -2100.56764         399.86697       -1700.70066
        99         -2100.57561         399.87495       -1700.70067
       100         -2100.58347         399.88280       -1700.70067
       101         -2100.59121         399.89054       -1700.70067
       102         -2100.59881         399.89813       -1700.70068
       103         -2100.60625         399.90557       -1700.70068
       104         -2100.61355         399.91287       -1700.70069
       105         -2100.62073         399.92004       -1700.70069
       106         -2100.62778         399.92709       -1700.70069
       107         -2100.63471         399.93403       -1700.70068
       108         -2100.64159         399.94091       -1700.70068
       109         -2100.64841         399.94773       -1700.70068
       110         -2100.65519         399.95452       -1700.70068
       111         -2100.66199         399.96132       -1700.70067
       112         -2100.66886         399.96819       -1700.70067
       113         -2100.67583         399.97516       -1700.70067
       114         -2100.68295         399.98229       -1700.70067
       115         -2100.69027         399.98960       -1700.70066
       116         -2100.69783         399.99716       -1700.70066
       117         -2100.70570         400.00503       -1700.70067
       118         -2100.71392         400.01326       -1700.70066
       119         -2100.72255         400.02189       -1700.70066
       120         -2100.73165         400.03099       -1700.70066
       121         -2100.74130         400.04065       -1700.70065
       122         -2100.75159         400.05095       -1700.70064
       123         -2100.76257         400.06193       -1700.70064
       124         -2100.77430         400.07367       -1700.70064
       125         -2100.78685         400.08622       -1700.70063
       126         -2100.80028         400.09965       -1700.70063
       127         -2100.81465         400.11403       -1700.70062
       128         -2100.83005         400.12943       -1700.70061
       129         -2100.84652         400.14591       -1700.70061
       130         -2100.86414         400.16354       -1700.70060
       131         -2100.88298         400.18238       -1700.70060
       132         -2100.90309         400.20249       -1700.70060
       133         -2100.92453         400.22394       -1700.70059
       134         -2100.94737         400.24678       -1700.70059
       135         -2100.97163         400.27105       -1700.70059
       136         -2100.99739         400.29680       -1700.70059
       137         -2101.02469         400.32410       -1700.70059
       138         -2101.05357         400.35298       -1700.70059
       139         -2101.08408         400.38349       -1700.70059
       140         -2101.11625         400.41567       -1700.70058
       141         -2101.15013         400.44956       -1700.70058
       142         -2101.18577         400.48519       -1700.70058
       143         -2101.22317         400.52259       -1700.70058
       144         -2101.26235         400.56177       -1700.70057
       145         -2101.30335         400.60279       -1700.70057
       146         -2101.34621         400.64564       -1700.70057
       147         -2101.39091         400.69034       -1700.70057
       148         -2101.43747         400.73690       -1700.70057
       149         -2101.48593         400.78535       -1700.70058
       150         -2101.53622         400.83565       -1700.70057
       151         -2101.58838         400.88780       -1700.70058
       152         -2101.64238         400.94180       -1700.70058
       153         -2101.69823         400.99764       -1700.70060
       154         -2101.75592         401.05532       -1700.70060
       155         -2101.81543         401.11483       -1700.70060
       156         -2101.87674         401.17613       -1700.70061
       157         -2101.93980         401.23919       -1700.70062
